inventory_id	film_id	store_id	last_update
1	1	1	2006-02-15 10:09:17 +0000
2	1	1	2006-02-15 10:09:17 +0000
3	1	1	2006-02-15 10:09:17 +0000
4	1	1	2006-02-15 10:09:17 +0000
5	1	2	2006-02-15 10:09:17 +0000
6	1	2	2006-02-15 10:09:17 +0000
7	1	2	2006-02-15 10:09:17 +0000
8	1	2	2006-02-15 10:09:17 +0000
9	2	2	2006-02-15 10:09:17 +0000
10	2	2	2006-02-15 10:09:17 +0000
11	2	2	2006-02-15 10:09:17 +0000
12	3	2	2006-02-15 10:09:17 +0000
13	3	2	2006-02-15 10:09:17 +0000
14	3	2	2006-02-15 10:09:17 +0000
15	3	2	2006-02-15 10:09:17 +0000
16	4	1	2006-02-15 10:09:17 +0000
17	4	1	2006-02-15 10:09:17 +0000
18	4	1	2006-02-15 10:09:17 +0000
19	4	1	2006-02-15 10:09:17 +0000
20	4	2	2006-02-15 10:09:17 +0000
21	4	2	2006-02-15 10:09:17 +0000
22	4	2	2006-02-15 10:09:17 +0000
23	5	2	2006-02-15 10:09:17 +0000
24	5	2	2006-02-15 10:09:17 +0000
25	5	2	2006-02-15 10:09:17 +0000
26	6	1	2006-02-15 10:09:17 +0000
27	6	1	2006-02-15 10:09:17 +0000
28	6	1	2006-02-15 10:09:17 +0000
29	6	2	2006-02-15 10:09:17 +0000
30	6	2	2006-02-15 10:09:17 +0000
31	6	2	2006-02-15 10:09:17 +0000
32	7	1	2006-02-15 10:09:17 +0000
33	7	1	2006-02-15 10:09:17 +0000
34	7	2	2006-02-15 10:09:17 +0000
35	7	2	2006-02-15 10:09:17 +0000
36	7	2	2006-02-15 10:09:17 +0000
37	8	2	2006-02-15 10:09:17 +0000
38	8	2	2006-02-15 10:09:17 +0000
39	8	2	2006-02-15 10:09:17 +0000
40	8	2	2006-02-15 10:09:17 +0000
41	9	1	2006-02-15 10:09:17 +0000
42	9	1	2006-02-15 10:09:17 +0000
43	9	1	2006-02-15 10:09:17 +0000
44	9	2	2006-02-15 10:09:17 +0000
45	9	2	2006-02-15 10:09:17 +0000
46	10	1	2006-02-15 10:09:17 +0000
47	10	1	2006-02-15 10:09:17 +0000
48	10	1	2006-02-15 10:09:17 +0000
49	10	1	2006-02-15 10:09:17 +0000
50	10	2	2006-02-15 10:09:17 +0000
51	10	2	2006-02-15 10:09:17 +0000
52	10	2	2006-02-15 10:09:17 +0000
53	11	1	2006-02-15 10:09:17 +0000
54	11	1	2006-02-15 10:09:17 +0000
55	11	1	2006-02-15 10:09:17 +0000
56	11	1	2006-02-15 10:09:17 +0000
57	11	2	2006-02-15 10:09:17 +0000
58	11	2	2006-02-15 10:09:17 +0000
59	11	2	2006-02-15 10:09:17 +0000
60	12	1	2006-02-15 10:09:17 +0000
61	12	1	2006-02-15 10:09:17 +0000
62	12	1	2006-02-15 10:09:17 +0000
63	12	2	2006-02-15 10:09:17 +0000
64	12	2	2006-02-15 10:09:17 +0000
65	12	2	2006-02-15 10:09:17 +0000
66	12	2	2006-02-15 10:09:17 +0000
67	13	2	2006-02-15 10:09:17 +0000
68	13	2	2006-02-15 10:09:17 +0000
69	13	2	2006-02-15 10:09:17 +0000
70	13	2	2006-02-15 10:09:17 +0000
71	15	1	2006-02-15 10:09:17 +0000
72	15	1	2006-02-15 10:09:17 +0000
73	15	2	2006-02-15 10:09:17 +0000
74	15	2	2006-02-15 10:09:17 +0000
75	15	2	2006-02-15 10:09:17 +0000
76	15	2	2006-02-15 10:09:17 +0000
77	16	1	2006-02-15 10:09:17 +0000
78	16	1	2006-02-15 10:09:17 +0000
79	16	2	2006-02-15 10:09:17 +0000
80	16	2	2006-02-15 10:09:17 +0000
81	17	1	2006-02-15 10:09:17 +0000
82	17	1	2006-02-15 10:09:17 +0000
83	17	1	2006-02-15 10:09:17 +0000
84	17	2	2006-02-15 10:09:17 +0000
85	17	2	2006-02-15 10:09:17 +0000
86	17	2	2006-02-15 10:09:17 +0000
87	18	1	2006-02-15 10:09:17 +0000
88	18	1	2006-02-15 10:09:17 +0000
89	18	1	2006-02-15 10:09:17 +0000
90	18	2	2006-02-15 10:09:17 +0000
91	18	2	2006-02-15 10:09:17 +0000
92	18	2	2006-02-15 10:09:17 +0000
93	19	1	2006-02-15 10:09:17 +0000
94	19	1	2006-02-15 10:09:17 +0000
95	19	1	2006-02-15 10:09:17 +0000
96	19	1	2006-02-15 10:09:17 +0000
97	19	2	2006-02-15 10:09:17 +0000
98	19	2	2006-02-15 10:09:17 +0000
99	20	1	2006-02-15 10:09:17 +0000
100	20	1	2006-02-15 10:09:17 +0000
